,goods_id,big_cat,small_cat,goods_name,price,Image URL
660,1070398,room_1,fur_0004,샘키즈 키큰옷장 세트 1200 서랍형+행거형,494000,https://image.hanssem.com/hsimg/gds/1050/1070/1070398_A1.jpg?v=20250908095947
661,1114407,room_1,fur_0004,샘키즈 보나 프레임 옷장+높은상부장 세트 2600,1120240,https://image.hanssem.com/hsimg/gds/1050/1114/1114407_A1.jpg?v=20250923150332
662,1114247,room_1,fur_0004,샘키즈 보나 일반 옷장 800,199000,https://image.hanssem.com/hsimg/gds/1050/1114/1114247_A1.jpg?v=20250923150331
663,1114343,room_1,fur_0004,샘키즈 보나 높은 상부장 980,141960,https://image.hanssem.com/hsimg/gds/1050/1114/1114343_A1.jpg?v=20250923150331
664,1070358,room_1,fur_0004,[특가~9/29]샘키즈 키큰옷장 서랍형 800,329000,https://image.hanssem.com/hsimg/gds/1050/1070/1070358_A1.jpg?v=20250908095947
665,1114345,room_1,fur_0004,샘키즈 보나 낮은 상부장 980,95000,https://image.hanssem.com/hsimg/gds/1050/1114/1114345_A1.jpg?v=20250923150331
666,1114402,room_1,fur_0004,샘키즈 보나 일반 옷장+높은상부장 세트 2600,1087000,https://image.hanssem.com/hsimg/gds/1050/1114/1114402_A1.jpg?v=20250923150332
667,967860,room_1,fur_0004,샘키즈 낮은 2단서랍장 600,180000,https://image.hanssem.com/hsimg/gds/1050/967/967860_A1.jpg?v=20250908095947
668,1114328,room_1,fur_0004,샘키즈 보나 박스행거장 980,205900,https://image.hanssem.com/hsimg/gds/1050/1114/1114328_A1.jpg?v=20250923150331
669,1070405,room_1,fur_0004,샘키즈 키큰옷장 세트 1200 서랍형+오픈 선반박스형,504000,https://image.hanssem.com/hsimg/gds/1050/1070/1070405_A1.jpg?v=20250908095947
670,1114355,room_1,fur_0004,샘키즈 보나 프레임 키큰옷장 서랍형 800,418080,https://image.hanssem.com/hsimg/gds/1050/1114/1114355_A1.jpg?v=20250923150331
671,1114320,room_1,fur_0004,샘키즈 보나 수납장 980,215900,https://image.hanssem.com/hsimg/gds/1050/1114/1114320_A1.jpg?v=20250923150331
672,967864,room_1,fur_0004,샘키즈 옷장 전용 ACC (옷장선반/옷걸이봉),9810,https://image.hanssem.com/hsimg/gds/1050/967/967864_A1.jpg?v=20240705151546
673,1114397,room_1,fur_0004,샘키즈 보나 일반 옷장+높은상부장 세트 1600,729000,https://image.hanssem.com/hsimg/gds/1050/1114/1114397_A1.jpg?v=20250923150332
